CQN	CHNC
nhấp nháy	扖𥅘
nhấp nhô	扖壖
nhấp nhoáng	扖晄
nhập nhoạng	入𣋆
nhấp nhổm	扖䠨
nhặt nhạnh	抇拎
nhạt nhẽo	溂𠖭
nhau nhảu	遶遶
nhâu nhâu	饒饒
nhậu nhẹt	𠻼𪷴
nhay nhay	捱捱
nhay nháy	𥅘𥅘
nhây nhây	㖇㖇
nhây nhớt	㖇𣼸
nhảy nhót	𬦮踤
nhầy nhụa	徍濡
nhễ nhại	濔𠽬
nhẹ nhàng	珥瓖
nhè nhẹ	珥珥
nhẻ nhói	𠰚焳
nhẹ nhõm	珥恁
nhếch nhác	𭞣㦡
nhem nhẻm	呥呥
nhẻm nhèm nhem	呥𣲹濂
nhem nhép	囁囁
nhem nhuốc	濂溽
nhen nhúm	燃𢪭
nheo nhéo	嘵嘵
nheo nhẻo	𡅍𡅍
nhèo nhẹo	𠰉𠰉
nheo nhóc	䁱傉
nhếu nháo	繞𬇣
nhệu nhạo	𡃺𠿱
nhí nha nhí nhảnh	𡭺牙𡭺穎
nhí nha nhí nhoẻn	𡭺牙𡭺嘫
nhì nhằng	二嚷
nhí nhảnh	𡭺穎
nhí nhắt	𡭺𡥌
nhí nháy	𡭺𥅘
nhì nhèo	二蕘
nhi nhí	𡭺𡭺
nhí nhoẻn	𡭺嘫
nhiều nhặn	𡗉𠽗
nhìn nhõ	𥆾乳
nhinh nhỉnh	𠽒𠽒
nhịp nhàng	楪瓖
nhỏ nhắn	𡮈𠴍
nhố nhăng	𠐔𠲕
nhỡ nhàng	𢙲瓖
nhỏ nhặt	𡮈𪰇
nhỏ nhẻ	㳶𠰚
nhọ nhem	渘濂
nhỏ nhen	𡮈燃
nho nhỏ	𡮈𡮈
nhơ nhớ	𢖵𢖵
nhờ nhỡ	𠾒𠾒
nhờ nhợ	𱒥𱒥
nho nhoe	儒𠼱
nhỏ nhoi	𡮈𡃽
nhỡ nhời	𢙲𠳒
nhơ nhớp	洳𣱿
nhớ nhung	𢖵戎
nhơ nhuốc	洳溽
nhoang nhoáng	晄晄
nhoay nhoáy	迩迩
nhóc nhách	傉呃
nhọc nhằn	𤹘㧢
nhoe nhoé	嚅嚅
nhoe nhoét	𠼱𥹽
nhoè nhoẹt	𤍶𥹽
nhoen nhoẻn	嘫嘫
nhoi nhói	焳焳
nhôm nham	鈓岩
nhồm nhàm	𠰃啱
nhom nhem	𤷳濂
nhòm nhỏ	𥉰𡮈
nhơm nhở	𣷰𢬨
nhồm nhoàm	𠰃啱
nhơm nhớp	𣱿𣱿
nhớn nhác	𢙫㦡
nhộn nhàng	𠾽瓖
nhôn nhao	尊堯
nhốn nháo	𥇈𬇣
nhộn nhạo	𠾽𠿱
nhon nhen	𠾽燃
nhón nhén	蹾𨅍
nhộn nhịp	𠾽喋
nhởn nhơ	𣼹洳
nhon nhỏn	偄偄
nhôn nhốt	噎噎
nhơn nhớt	𣼸𣼸
nhờn nhợt	濼濼
nhỏng nha nhỏng nhảnh	戎牙戎穎
nhóng nhánh	𬊊𪸝
nhỏng nhảnh	戎穎
nhõng nhẽo	冗繞
nhong nhong	𬫍𬫍
nhong nhóng	𢟞𢟞
nhông nhông	𧻪𧻪
nhớp nháp	𣱿𡊠
nhóp nhép	叺囁
nhớp nhúa	𣱿濡
nhớt nhát	𣼸㦉
nhột nhạt	𦝬溂
nhớt nhợt	𣼸濼
nhu nhú	葇葇
nhừ tử	𤈟子
nhừa nhựa	𣺾𣺾
nhục nhã	辱若
nhúc nhắc	𨃽𠯅
nhúc nhích	𨃽蹢
nhức nhối	𤴵𤻫
nhuế nhóa	吶哸
nhũn nhặn	軟𠽗
nhũn nhùn	軟軟
nhún nhường	䠣讓
nhung nhăng	戎𠲕
nhùng nhằng	𨀍𨀊
nhũng nhẵng	冗𠯹
nhủng nhẳng	㕴𦅯
nhụng nhịu	𰮐皺
nhung nhúc	𨃽𨃽
nhưng nhức	𤴵𤴵
nhuốc nhơ	溽洳
nhuôm nhuôm	𠰃𠰃
nhút nhát	葖㦉
nỉ non	𪡇嫩
niềm nở	念𦬑
niềng niễng	䗿䗿
ninh ních	𡀡𡀡
nình nịch	𠺁𠺁
nịnh nọt	佞涅
nỏ nan	𬊨難
nợ nần	𧴱嫨
nỏ nang	弩囊
nở nang	𦬑囊
no nao	𩛂㝹
no nê	𩛂𩚯
nô nức	駑𱕔
nõ nường	𧀒娘
nói năng	吶𠹌
nơi nới	摕摕
nơm nớp	𢟕𢟕
nõn nà	𧀒㑚
nôn nao	𠷀㝹
nôn nóng	𠷀𤎏
non nớt	嫩涅
nõn nường	𧀒娘
nong nả	擃嗱
nồng nặc	濃喏
nồng nàn	濃難
nóng nảy	𤎏䄧
nòng nọc	蝳蝳
nông nổi	噥浽
nồng nỗng	襛襛
nóng nực	𤎏𤎐
nòng nực	檂𤎐
nu na	𱜢那
núc nác	𠴐渃
nục nạc	𰈒䑈
núc ních	𠴐𡀡
nức nở	𱕔𦬑
nực nội	𤎐內
núi non	𡶀𡽫
num núm	埝埝
núng na núng nính	𨆞那𨆞𦡲
nung nấu	燶𤍇
núng nính	𨆞𦡲
nũng nịu	㕴溺
nưng niu	㨢𱠴
nung núng	𨆞𨆞
nước nôi	渃𣊌
nuôi nấng	𩝺饢
nườm nượp	湳𣻀
nương náu	𢭗蓐
ơ hờ	㐵噓
ô rô	𦶀鱸
oác oác	嚯嚯
oằn oại	倇偎
ọc ọc	𣹙𣹙
ỏe hoẹ	唩𠽡
oe oé	噦噦
ời ời	㗒㗒
ôi thôi	喂催
om sòm	喑嚵
ồn ã	嗢啊
ơn ớn	𢞴𢞴
ông ổng	嗡嗡
óp xọp	邑執
ốt dột	乙𣔻
phá phách	破擘
pha phôi	𢯠呸
phăm phắp	𠵽𠵽
phầm phập	怫怫
phàn nàn	𡃎難
phăn phắt	𧿳𧿳
phần phật	拂拂
phần phò	份哺
phăng phắc	噗噗
phẳng phắn	塝坢
phẳng phiu	塝墂
phành phạch	𩗀𩗀
phanh phui	抨抷
phao phí	𣿖費
phấp phới	𭡚𢭿
phấp phỏng	𭡚倣
phập phồng	怫𤂧
phất phơ	拂披
phây phây	批批
phệ nệ	㭀泥
phe phẩy	派㧊
phề phệ	㭀㭀
phệ phệ	㭀㭀
phè phỡn	腓𦙀
phèn phẹt	㗶㗶
phèng phèng	嗙嗙
phều phào	漂𠴋
phì phà	淝𠶊
phí phạm	費犯
phí phạn	費奮
phì phèo	淝咆
phì phì	淝淝
phì phị	𦜀𦜀
phiên phiến	番番
phình phịch	噼噼
phinh phính	𣍪𣍪
phình phĩnh	𠶏𠶏
phỉnh phờ	𠶏𠱀
phờ phạc	𠱀卟
phôi pha	呸𢯠
phơi phới	𢭿𢭿
phơi phóng	𤇨放
phồm phàm	范凡
phôm phốp	𪾁𪾁
phớn phở	𠯘𡂄
phơn phớt	咈咈
phong phanh	風抨
phổng phao	倣𣿖
phốp pháp	𪾁法
phũ phàng	𢰺搒
phứa phựa	破破
phục phịch	服𦢟
phung phá	𢱚破
phung phí	𢱚費
phúng phính	𰇷𣍪
phưng phức	馥馥
phung phúng	𰇷𰇷
phút chốc	丿𡎺
quà cáp	𩛃哈
quá quắt	過𢯔
qua quýt	過𢵮
quạc quạc	嘓嘓
quằm quặm	𣰙𣰙
quằn quại	𠹴啩
quằn quặn	𤹓𤹓
quẩn quanh	𨆤𨒺
quần quật	𠡰𠡰
quăn queo	𩮔𨙍
quằn quẹo	𠹴𢳙
quặn quẹo	𤹓𢳙
quấn quýt	𦄄𢵮
quàng quạc	嘓嘓
quanh co	𨒺𢮩
quanh quẩn	𨒺𨆤
quanh quánh	𡃅𡃅
quanh quất	𨒺繘
quạnh quẽ	夐揆
quanh quéo	𨒺撟
quạt phành phạch	橛𩗀𩗀
quắt queo	𢯔𨙍
quắt quéo	𢯔撟
quặt quẹo	䠇𢳙
quàu quạu	㗕㗕
quày quã	𫏓𠵩
quấy quá	撌過
quấy quả	撌果
quay quắt	𢮿𢯔
quây quẩy	拐拐
què quặt	𨆠䠇
quệch quạc	㨯擭
quèn quèn	𤷄𤷄
quềnh quàng	瓊𫏈
quều quào	僑𫽿
quờ quạng	捰挄
quở quang	𠵩光
quỷ quyệt	鬼譎
ra rả	𫥨𤄷
rà rẫm	攞𢬶
rả rích	𤄷嚦
rã rời	沲𨖨
rã rượi	沲洟
rạc rài	𫄈來
rắc rối	𢳯𦇒
rạc rời	𫄈𨖨
rác rưởi	𧅫𥙪
rạch ròi	瀝𠛨
rách rưới	𧛊𢱓
rải rác	𢱛𧅫
ram ráp	撘撘
răm rắp	𫁞𫁞
rầm rập	摺摺
rậm rạp	葚𠪸
rầm rì	𠽍荑
rầm rĩ	𠽍㐶
rậm rì	葚荑
rắm rít	𫄊挒
rầm rộ	𠽍𭍆
rân rấn	𢪉𢪉
rần rần	𠻤𠻤
ran rát	𤌣𤌣
rần rật	𠻤㗚
rắn rết	𧋻𧏲
rằn ri	𢒞𠶋
rắn rỏi	𰧄磊
răng rắc	𢳯𢳯
rang rảng	朗朗
ràng rạng	𤎜𤎜
ràng rịt	𦀾𦀎
rạng rỡ	𤎜𠒦
ranh mãnh	𩲵𫙍
rảnh rang	𣇝烊
rành rọt	炩𤈠
rào rạo	梍梍
ráo riết	𣋝𦄃
rạo rực	𰛴熤
rắp ranh	𫁞𭩹
ráp rạp	𢺎𢺎
rập rình	摺侱
rập rờn	摺涎
rát ruột	𤌣𦛌
rau ráu	𠸫𠸫
rầu rĩ	𱟓㐶
rầy rà	誺𦚐
rầy rật	誺㗚
rề rà	𣾸攞
rẽ ràng	𥘶𤉜
rẽ ròi	𥘶𠛨
rẻ rúng	𱞁佣
rếch rác	藶𧅫
rên rẩm	𫫣𡀫
ren rén	𨅍𨅍
rên rỉ	𫫣𠯇
rền rĩ	𡃚㐶
rèo rẹo	𠮩𠮩
rẹo rọc	𠮩轆
rệu rã	洮沲
rĩ rà rì rầm	㐶攞荑𠽍
rí rách	哩𧛊
rì rầm	荑𠽍
rỉ răng	𠯇𪘵
rì rào	荑滛
ri rí	哩哩
ri rỉ	𠶋𠯇
rí rỏm	哩𠼖
rỉa ráy	𠹼𤀕
rỉa rói	𠹼𩽊
riêng rẽ	𥢆𥘶
riết ráo	𦄃𣋝
riết róng	𦄃弄
rin rít	挒挒
rình rập	侱摺
rít răng	挒𪘵
ríu ra ríu rít	𠲢𫥨𠲢挒
ríu rít	𠲢挒
rờ rẫm	𢮀𢬶
rõ ràng	𤑟𤉜
rỡ ràng	𠒦𤉜
rọ rạy	𥱨𢩽
rõ rệt	𤑟𤍅
rờ rệt	𢮀𤍅
ro ró	𧀓𧀓
rờ rỡ	𠒦𠒦
róc rách	𢮑𧛊
rời rã	𨖨沲
rối ra rối rít	𦇒𫥨𦇒挒
rời rạc	𨖨𫄈
rỗi rãi	𡂳𠸤
rối ren	𦇒褳
rối rít	𦇒挒
rời rợi	灑灑
rơi rớt	淶溧
rơi rụng	淶苚
rối ruột	𦇒𦛌
rôm rả	𩫦𤄷
rơm rớm	滲滲
rộn rã	𡀷沲
rộn ràng	𡀷𦀾
rộn rạo	𡀷𰛴
rón rén	蹾𨅍
rộn rịp	𠾽喋
rờn rợn	囒囒
rôn rốt	噎噎
rơn rớt	𣼸𣼸
rộn rực	𡀷熤
rỗng không	筩空
ròng rã	𠖿沲
rộng rãi	㢅𠸤
ròng rọc	轆轆
rông rổng	𠹍𠹍
rủ rê	𢷀黎
rú rí	𡀿哩
rù rì	㾄荑
rủ rỉ	𢷀𠯇
rù rờ	㾄𢮀
ru rú	𧀓𧀓
rũ rượi	癒洟
rưa rứa	呂呂
rúc ráy	唷𤀕
rúc rỉa	唷𠹼
rúc rích	唷嚦
rục rịch	濁𤃝
rực rỡ	熤𠒦
rủi ro	𢤡𬰹
run cầm cập	憞忣忣
run rẩy	憞𢝚
rún rẩy	𦠆𢝚
rủng ra rủng rỉnh	𬫉𫥨𬫉珵
rung rinh	𢫝揁
rủng rỉnh	𬫉珵
rụng rời	苚𨖨
rùng rợn	挏囒
rừng rú	𡹃𧀓
rung rúc	唷唷
rưng rức	𪵫𪵫
rừng rực	熤熤
rười rượi	洟洟
rườm rà	薝𦳃
rươm rướm	滲滲
rườn rượt	淖淖
ruồng rẫy	拥𧿆
ruột rà	𦛌攞
rút rát	捽𤌣
rụt rè	揬𥗍
rút ruột	捽𦛌
rứt ruột	𢲼𦛌
sa sầm	蹉岑
sa sẩy	蹉𫽎
sã suồng	咤𠼾
sa sút	蹉淬
sắc sảo	銫稍
sặc sỡ	嗾𬾟
sặc sụa	嗾咵
sạch bách	滌迫
sạch sành sanh	滌𡊳栍
sạch sẽ	滌仕
sai sót	差𨔊
sai suyễn	差舛
sâm sẩm	𩅙𩅙
sắm sanh	攕栍
sầm sập	𭰪𭰪
sàm sỡ	謲𬾟
săm sưa	𥊀𫑺
sắm sửa	攕𢯢
sậm sựt	湛叻
sàn sạn	𥖔𥖔
sẵn sàng	𠻿𠳹
san sát	擦擦
săn sắt	瑟瑟
sần sật	栗栗
san sẻ	滻𢩿
sấn sổ	趁擻
săn sóc	𢕸𥉮
sần sùi	莘𥹯
sân sướng	𡑝𡒮
sáng láng	𤏬㫰
sang sáng	𤏬𤏬
sang sảng	𢀨𢀨
sàng sảy	𬕌𢫟
sáng sủa	𤏬𡂡
sành sõi	𡊳誄
sành sỏi	𡊳礌
sạo sục	謅搐
sắp sẵn	𢯛𠻿
sập sè	𭰪茌
sắp sửa	𢯛𢯢
sập sùi	砬𥹯
sát sàn sạt	擦孱呹
sặt sành	湥𡊳
sát sao	擦抄
sát sạt	擦呹
sây sát	傞擦
say sưa	醝𫑺
sệ nệ	䐭泥
se sắt	𤉖瑟
sè sẽ	仕仕
sền sệt	𣻂𣻂
sẻn so	㦃𬧺
sến súa	𣞶咵
sì sụp	嚏𨀎
sít sao	𬿺抄
sơ sài	疏柴
sờ sẫm	𢮀湛
sỗ sàng	𡂡𠳹
sồ sề	粗胒
sợ sệt	𢜝𣻂
sờ soạng	𢮀𪮡
soát sỉnh	詧生
sôi nổi	𤉚浽
sôi sục	𤉚搐
sôi sùng sục	𤉚崇搐
sóm sém	攙𤑯
sờm sỡ	謲𬾟
sòm sọm	攙攙
sơm sớm	𣋽𣋽
sớm sủa	𣋽𡂡
sởn mởn	摌蔓
sớn sác	汕槊
son sẻ	𣘈𢩿
sởn sơ	摌初
sòn sòn	侟侟
sồn sột	𠸂𠸂
sóng sánh	㳥𠁔
sổng sểnh	寵井
sống sít	𤯩𬿺
sóng soài	㳥膗
sõng soài	㳥𣻑
sòng sọc	𪟄𪟄
sống sượng	𤯩𪽄
sóng sượt	㳥𣻑
sốt sắng	焠𤍎
sột soạt	𠸂嚓
sốt sột	焠𠸂
sù sụ	𰈸𰈸
sửa sang	𢯢𨖅
sực nức	𫗾𱕔
súc sắc	劅色
sục sạo	搐謅
sục sôi	搐𤉚
sùi sụt	𥹯泏
sum sê	侺茌
sùm sòa	侺叉
sùm sụp	𨀎𨀎
sừn sựt	栗栗
sưng sỉa	𤷖𨀋
sừng sỏ	𧤁𨯃
sừng sộ	𧤁數
sững sờ	𨄉𣻄
sửng sốt	慡焠
sùng sục	搐搐
sừng sực	𠶗𠶗
sừng sững	𧤁𨄉
suôn sẻ	棆𢩿
sườn sượt	𣻑𣻑
suồng sã	𠼾咤
sượng sùng	𪽄崇
sường sượng	𪽄𪽄
sướt mướt	𣻑滵
sụt sịt	泏哳
sụt sùi	泏𥹯
suy suyển	衰喘
suýt soát	侐詧
tả tơi	𪭥𥯒
tắc tị	塞避
tai tái	𦛍𦛍
tầm tã	潯瀉
tấm tắc	𬌓則
tàm tạm	暫暫
tăm tắp	𠍱𠍱
tắm táp	浸咂
tăm tích	吣跡
tăm tiếng	吣㗂
tam toạng	三臧
tấm tức	𬌓𠺒
tẩn mẩn	賓𢠨
tần ngần	頻垠
tan tành	散啨
tằn tiện	秦賤
tán tỉnh	𠾎省
tang tảng	𣉕𣉕
tằng tịu	𡡑娋
tang tóc	喪𩯀
tanh bành	腥彭
tanh tưởi	腥載
tào lao	曹勞
táo tác	躁作
táo tợn	躁𢣺
tạp nhạp	雜入
tập tành	習啨
tấp tểnh	漝𢜫
tập tễnh	集井
tạp tụng	雜訟
tất tả	㧙𪭥
tất ta tất tưởi	㧙些㧙載
tất tần tật	悉秦疾
tắt tiếng	𤎕㗂
tất tưởi	㧙載
táy máy	𭠣𢵯
tè he	𪷗𡁱
tê mê	痺迷
té re	𪷉提
te tái	呞再
tê tái	痺𦛍
tèm hem	潛嫌
tèm lem	潛濂
tèm nhèm	潛𣲹
tem tép	浹浹
tẽn tò	𢤣𭇓
teng beng	星鋲
tênh hênh	惺亨
tẻo teo	小悄
teo tóp	悄𦚗
tẹp nhẹp	捷叺
tha thiết	他切
tha thứ	赦恕
tha thướt	他𤃧
thắc mắc	忑縸
thắc thỏm	忑㖭
thài lài	䓱𦲒
thàm làm	嗿𫜵
thậm thà thậm thụt	甚咃甚浖
thăm thẳm	瀋瀋
thấm tháp	沁溚
thầm thì	忱時
thấm thía	沁𤀏
thấm thoát	沁脫
thấm thoắt	沁𨁑
thậm thụt	甚浖
thẫn thờ	矧悇
thẩn thơ	訠詩
than vãn	嘆挽
thẳng thắn	𣦎𡁟
thằng thúc	僶促
thanh thản	清坦
thanh thảnh	𨓽𨓽
thanh thoát	清脫
thảnh thơi	𨓽迨
thánh thót	𬉊𪷄
thao láo	操咾
thào lao	㗖嘮
thào thợt	㗖達
thấp tho	隰湫
thập thò	拾𢲬
thấp thoáng	隰洸
thấp thỏm	隰㖭
thật thà	實咃
thất thểu	失吵
thau tháu	艸艸
thay lay	𠊝摛
thay lảy	𠊝攭
thay máy	𠊝𢵯
thè lè	𪮛嚟
the thé	呭呭
thêm thắt	添紩
thèm thuồng	饞𢠆
thèn thẹn	𢢆𢢆
thẹn thò	𢢆𢲬
thẹn thùng	𢢆𢠅
thênh thang	𢉑湯
thèo bẻo	韶表
thều thào	𠻩㗖
thì thầm	時忱
thì thào	時㗖
thì thọt	時𡁾
thì thùng	時桶
thia lia	捿攡
thiêm thiếp	𢜡𢜡
thiết tha	切他
thiệt thòi	折嗺
thin thít	𢗠𢗠
thình lình	𥓉𥘃
thình thịch	磩磩
thỉnh thoảng	請倘
thịt thà	𬚸咃
thò lò	𢲬爐
thớ lợ	𬁼𠐳
thờ ơ	悇㐵
thơ thẩn	詩訠
thờ thẫn	悇矧
thỏ thẻ	兔𠱈
thơ thốt	苴椊
thỏa thê	妥淒
thỏa thuê	妥𠾔
thoai thoải	𢗷𢗷
thoăn thoắt	𨁑𨁑
thoang thoáng	洸洸
thoang thoảng	倘倘
thóc mách	𥟉𠼽
thòi lòi	嗺䋘
thối tha	啐他
thôi thối	啐啐
thoi thóp	梭𡀾
thoi thót	梭𪷄
thồm lồm	偡藍
thòm thèm	啿饞
thơm tho	𦹳湫
thom thỏm	㖭㖭
thom thóp	𡀾𡀾
thỗn thễn	𦛻膳
thỗn thện	𦛻膳
thon thót	𪷄𪷄
thơn thớt	𣘄𣘄
thổn thức	忖𥅞
thon von	𠴘𡻖
thong dong	从容
thòng lọng	𦄷𢃈
thong thả	从抯
thõng thẹo	捅𠻥
thông thống	通通
thu lu	收罏
thù lù	茱瀘
thư thả	舒抯
thừa mứa	剩傌
thừa thãi	剩汰
thua tháy	輸太
thưa thớt	疎𣘄
thừa ưa	乘𢛨
thừa ứa	剩瘀
thực thà	寔咃
thuể thoả	稅妥
thui thủi	蹆蹆
thum thủm	𡂹𡂹
thùm thụp	拾拾
thun lủn	𦀹侖
thung dung	舂容
thúng mủng	𥴗𥶃
thung thăng	舂升
thủng thẳng	𫫴𣦎
thùng thình	桶𥓉
thủng thỉnh	𫫴請
thũng thịu	腫紹
thườn thượt	絬絬
thướt tha	𤃧他
thút nút	𠴫𨨷
thút thít	𠴫𢗠
ti hí	絲咥
tỉ mỉ	細美
tí tách	子㳻
tỉ tê	細犀
tí teo	子悄
tí tẹo	子俏
ti tỉ	絲絲
tí tị	子比
ti toe	絲䏴
tia tía	紫紫
tiệc tùng	席從
tiêu tùng	消從
tim tím	𦻳𦻳
tìm tòi	尋撮
tình hình	情形
tinh tươm	晶瀸
tịt mít	𠾼櫗
tíu tít	嘬㘉
tô hô	蘇呼
tơ lơ mơ	絲𢣻𢠩
tò mò	𭇓摸
tờ mờ	詞𥊚
to tát	𫰅薩
tò te	𭇓呞
tơ tình	絲情
tồ tồ	徂徂
tơ tóc	絲𩯀
to tướng	𫰅相
tơ tưởng	媤想
toang hoang	𫫥荒
toang toác	𫫥嚄
toe toét	䏴𠽌
toen hoẻn	宣宛
tơi bời	𥯒𢱎
tơi tả	𥯒𪭥
tối tăm	𣋁吣
tới tấp	𬧐漝
tom ngỏm	𥿂𦛽
tòm tem	噚𣑷
tòn ten	存鎆
tồng ngồng	宗茙
tong tả	淙𪭥
tong tỏng	淙淙
tóp tép	𦚗浹
trà trộn	搽𢶿
trắc trở	仄阻
trậm trầy trậm trật	站摨站秩
trầm tre	沈𥯌
trầm trồ	沈徂
trằn trọc	𢴟𬴭
trần trụi	陳𪳹
trần trùng trục	陳重逐
trăng trắng	𤽸𤽸
trâng tráo	瞋𥋽
trắng trẻo	𤽸𤽀
trắng trợn	𤽸𥉲
trắng trợt	𤽸跌
tranh vanh	佂儝
trao tráo	𥋽𥋽
tráo trưng	𥋽徵
trập trùng	縶重
trật trà trật trưỡng	秩茶秩傽
trật trệu	秩咷
trật trưỡng	秩傽
trầy trật	摨秩
trầy trụa	摨咮
trễ tràng	𬓐長
trẻ trung	𥘷中
trèo trẹo	𨀽𨀽
trẹo trọ	𨀽住
trẹt lét	澈𥉬
trếu tráo	咷啅
trệu trạo	咷啅
trình trọt	呈𢫖
trĩu trịt	𥾇𦅄
trơ tráo	𥗁𥋽
trọ trẹ	住𠶠
trơ trẽn	𥗁𠹖
trớ trêu	咋嘹
trớ trinh	咋貞
trô trố	𥇻𥇻
trơ trọi	𥗁𪳹
trò trống	𠻀𤿰
trơ trụi	𥗁𪳹
trọc lóc	𬴭𠯿
trộc trệch	濁擲
trọi lỏi	𪳹𨇒
trối trăng	讄𦝄
trọi trơn	𪳹𣹗
tróm trém	簪蘸
tròm trèm	憯怗
trớn trác	磌卓
tròn trặn	圇陣
trộn trạo	𢶿啅
trợn trạo	𥉲啅
tròn trịa	圇治
tròn trĩnh	圇𠸩
tròn trõn	圇圇
trờn trợn	𥉲𥉲
trơn tru	𣹗咮
trợn trừng	𥉲瞪
trống trải	𥧪𱱇
tròng trắng	緟𤽸
tròng trành	緟湩
trống trếnh	𥧪𠰪
trong trẻo	𥪝𤽀
trồng trọt	𣑺𢫖
trợt lớt	跌𣼷
tru tréo	咮𧾿
trù trừ	躊躇
trúc trắc	築仄
trục trặc	軸𨁷
trụi lủi	𪳹𨇒
trùi trũi	𪒽𪒽
trùng trình	重程
trừng trộ	瞪路
trùng trục	𢴊𢴊
tua rua	鬚俞
tua tủa	溑溑
từa tựa	似似
túc tắc	足則
tục tằn	俗秦
tục tĩu	俗剿
tức tối	𠺒𣋁
tức tưởi	𠺒載
tuế toái	歲碎
tuệch toạc	𠻊劐
túi bụi	襊𡏧
tùm hum	𥳍𥵗
tủm tỉm	𠸬噆
túm tụm	縿𥯓
tun hủn	澊滾
tủn mủn	繜𫃐
tưng bừng	熷𤇊
tưng hửng	熷𬋙
tung tăng	縱增
tùng tiệm	從店
tuổi tác	歲作
tươi tắn	鮮晉
tươm tất	瀸悉
tườm tượp	雜雜
tuồn tuột	𨀞𨀞
tuồng luông	㗰㳥
tuốt tuột	剟剟
tuý luý	醉累
ủ rũ	膒癒
ú ụ	𦠲圬
um sùm	喑嚵
um tùm	𠽛𥳍
ừng ực	𠳑𠳑
vá víu	𦀪𬗠
vân vê	紋撝
văn vẻ	文𨤔
vặn vẹo	𢱨𣍅
vấn vít	𦄞𥿀
vằng vặc	爃𤊨
văng vẳng	𦕟𦕟
vắng vẻ	咏𨤔
vành vạnh	鑅鑅
vấp váp	𰸣叭
vất vả	沕𡲤
vặt vãnh	伆𠇟
vấy vá	𦝩𦀪
ve vãn	𬋱晚
vẻ vang	𨤔㘇
ve vẩy	𬋱湋
vẹn vẽ	捖𦘧
vẻn vẹn	捖捖
vênh váo	儝𠾷
vẹo vọ	𣍅鶩
véo von	㧼𡻖
vếu váo	𠶓𠾷
vi vu	喡𭇹
vi vút	喡𱜏
viển vông	遠𣜳
vớ vẩn	𫼻𪷦
võ vàng	㽳傍
vơ váo	噅𠾷
vồ vập	橅及
vỗ về	𢯞𧗱
vờ vịt	𫿒𩿠
vò võ	㽳㽳
vội vã	𫏚𨁱
vội vàng	𫏚傍
vòi vọi	𡸏𡸏
vời vợi	𡸏𡸏
vồn vã	㖹𠳿
vòng vèo	𤥑𨖿
vòng vo	𤥑汙
vu vơ	誣噅
vừa vặn	𣃣𢱨
vui vẻ	𢝙𨤔
vụn vặt	僎伆
vun vút	𢱔𱜏
vùng vằng	摓𭈒
vững vàng	凭傍
vương vấn	𥿁𦄞
vương víu	𥿁𬗠
vuốt ve	𤢇𬋱
xa xăm	賒駸
xa xỉ	奢侈
xa xôi	賒𥸷
xác xơ	殼綀
xấc xược	倬啅
xám xịt	繿哳
xanh xao	青嗃
xào xạc	𡁞𠳗
xao xuyến	嗃紃
xập xè	𭰪茌
xấp xỉ	𢵸齒
xấu xa	醜賒
xâu xé	𦄓扯
xấu xí	醜㖉
xây xẩm	𡏦𭿄
xem xét	䀡察
xênh xang	𫕸唱
xéo xẹo	𬦪仯
xì xào	嚏𡁞
xích mích	斥覓
xinh xắn	𦎡𢷂
xô bồ	搊蒲
xổ số	𢹧數
xơ xác	綀殼
xó xỉnh	𨻬省
xoắn xít	𦀵掇
xoàng xĩnh	侊省
xoay xở	搓處
xốc xếch	㒔𪜻
xối xả	㵊捨
xồm xoàm	𩮕𩰃
xốn xang	吋唱
xôn xao	𠮿嗃
xót xa	㤕賒
xử sự	處事
xúc xắc	劅色
xúc xiểm	促諂
xuề xòa	𣵶汊
xúm xít	𠎊掇
xum xuê	侺茌
xun xoe	𠎄𭇺
xuýt xoát	啜脫
