Character,Reading,Examples
慘,THẢM,"悲慘 bi thảm
慘劇 thảm kịch
慘敗 thảm bại
慘禍 thảm hoạ
淒慘 thê thảm"
探,THÁM,"探聽 thám thính
偵探 trinh thám
探險 thám hiểm
游探 do thám
密探 mật thám
探子 thám tử"
探,thăm,"探𪭴 thăm dò
𠫾探 đi thăm
探𠳨 thăm hỏi"
𧺀,thắm,"𧹻𧺀 đỏ thắm
𧺀切 thắm thiết
𧺀㷋 thắm đượm"
深,THÂM,"深邃 thâm thuý
深厚 thâm hậu
深入 thâm nhập
深毒 thâm độc
深年 thâm niên"
審,THẨM,"審查 thẩm tra
評審 bình thẩm
初審 sơ thẩm
審問 thẩm vấn
審層句詩 thẩm từng câu thơ"
沁,THẤM,"沁𨁑 thấm thoắt
淹沁 êm thấm
[翻]"
沁,thẩm,"紙沁 giấy thẩm
⇔沁thấm[翻]"
忱,thầm,"吶忱 nói thầm
忱𠻨 thầm kín
時忱 thì thầm"
炭,than,"炭𥒥 than đá
𡍚炭 lầm than"
坦,THẢN,"清坦 thanh thản
平坦 bình thản
[翻]"
嘆,THÁN,"怨嘆 oán thán
嘆詞 thán từ"
嘆,than,"嘆咀 than thở
嘆喂 than ôi"
申,THÂN,"戊申 Mậu Thân
申主 thân chủ"
身,THÂN,"身𨉟 thân mình
獨身 độc thân
身體 thân thể
平身 bình thân"
親,THÂN,"親切 thân thiết
親密 thân mật
親近 thân cận
[翻]"
臣,THẦN,"使臣 sứ thần
功臣 công thần
臣民 thần dân
臣子 thần tử"
辰,THẦN,星辰 tinh thần
辰,THÌN,"𣇞辰 giờ Thìn
[翻]"
神,THẦN,"精神 tinh thần
傳神 truyền thần
𢠈神 bần thần
神仙 thần tiên"
腎,THẬN,"果腎 quả thận
腎臟 thận tạng"
簜,thang,"蹽簜 leo thang
橋簜 cầu thang
簜糧 thang lương"
倘,THẢNG,倘或 thảng hoặc
倘,thoảng,請倘 thỉnh thoảng
倘,thoang,"倘倘 thoang thoảng
⇔倘thoảng"
𣎃,tháng,"𣈜𣎃𢆥 ngày tháng năm
𣎃正 tháng giêng"
升,THĂNG,"升堂 thăng đường
升官 thăng quan
升級 thăng cấp
𨁪升 dấu thăng
𣛠𢒎直升 máy bay trực thăng
[翻]"
升,thưng,"𠬠升 một thưng
單位𢵋đơnvịđo"
昇,THĂNG,"昇平 thăng bình
昇華 thăng hoa
昇降 thăng giáng
昇天 thăng thiên
昇龍 thăng long"
𣦎,thẳng,"𢫮𣦎 căng thẳng
𣦎𡁟 thẳng thắn
[異]𥊢"
勝,THẮNG,"勝陣 thắng trận
勝利 thắng lợi
勝敗 thắng bại
勝景 thắng cảnh"
𭡽,thắng,"𢯒𭡽 bóp thắng
𭡽車徠 thắng xe lại"
僶,thằng,"僶𡮣 thằng bé
僶𪀊 thằng cu
[異]繩"
乘,THẶNG,"小乘 tiểu thặng
上乘 thượng thặng
千乘之國 thiên thặng chi quốc"
乘,THỪA,"大乘 Đại thừa
乘機 thừa cơ"
青,THẶNG,剩餘 thặng dư
青,THỪA,"剩汰 thừa thãi
行剩 hàng thừa
人員剩 nhân viên thừa"
青,THANH,"青天 thanh thiên
青年 thanh niên
青春 thanh xuân
青草 thanh thảo"
青,xanh,"樓青 lầu xanh
茶青 chè xanh
𡗶青 trời xanh
青蘿𣘃 xanh lá cây
[翻]"
清,THANH,"清咏 thanh vắng
清算 thanh toán
清涼 thanh lương"
聲,THANH,"聲名 thanh danh
臺發聲 đài phát thanh
斷腸新聲 đoạn trường tân thanh
()"
𨓽,thảnh,𨓽迨 thảnh thơi
𨓽,thanh,"𨓽𨓽 thanh thảnh
⇔𨓽thảnh"
聖,THÁNH,"神聖 thần thánh
聖人 thánh nhân
亞聖 á thánh"
𬉊,thánh,𬉊𪷄 thánh thót
成,THÀNH,"形成 hình thành
成人 thành nhân"
城,THÀNH,"城庯 thành phố
城池 thành trì"
誠,THÀNH,"誠懇 thành khẩn
𢚸誠 lòng thành
忠誠 trung thành"
滔,THAO,滔滔不絕 thao thao bất tuyệt
操,THAO,"體操 thể thao
操縱 thao túng
操作 thao tác
操𥅞 thao thức"
操,THÁO,節操 tiết tháo
韜,THAO,"韜略 thao lược
[翻]"
草,THẢO,"草原 thảo nguyên
青草 thanh thảo
香草 hương thảo
芳草 phương thảo
預草 dự thảo"
討,THẢO,"討論 thảo luận
討伐 thảo phạt"
𢳥,tháo,"𢳥𧼋 tháo chạy
𢳥𨆢 tháolui
𢳥仈 tháo vát
聒𢳥 quát tháo"
㗖,thào,"時㗖 thì thào
慣㗖 quen thào
𠻩㗖 thều thào"
塔,THÁP,"塔玡 tháp ngà
塔𧒍 Tháp Rùa
[翻]"
溚,tháp,"溚莄 tháp cành
沁溚 thấm tháp
溚從 tháp tùng"
隰,THẤP,"墻隰 tường thấp
𢬣藝隰 tay nghề thấp
隰㖭 thấp thỏm
隰洸 thấp thoáng
()"
濕,THẤP,"𤀔濕 ẩm thấp
痺濕 tê thấp
風濕 phong thấp
濕度 thấp độ
()"
十,THẬP,"十全 thập toàn
十分 thập phân
紅十字 hồng thập tự
十年 thập niên"
十,nạp,"十 nạp
數點𥪝㗂㑝俚𤞼。Sốđếmtrongtiếnglóngláilợn."
十,lạp,"十 lạp
⇔十nạp"
什,THẬP,"什錦 thập cẩm
[翻]"
紩,thắt,"紩𨨷 thắt nút
紩𬘋 thắt chặt
[翻]"
七,THẤT,"七八 thất bát
七十 thất thập
七夕 thất tịch
七言 thất ngôn"
七,khắp,"七 khắp
數點𥪝㗂㑝俚𤞼。Sốđếmtrongtiếnglóngláilợn."
七,hấp,"七 hấp
⇔七khắp"
失,THẤT,"失敗 thất bại
失望 thất vọng
損失 tổn thất
失情 thất tình
失吵 thất thểu
失色 thất sắc"
室,THẤT,"家室 gia thất
寢室 tẩm thất
心室 tâm thất
皇室 hoàng thất"
實,THẬT,"吶實 nói thật
實惵 thật đẹp
實咃 thật thà
[翻]()"
實,THIỆT,"次實 thứ thiệt
格讀𧵑「實thật」爲𠼤諱時𠸗。Cáchđọccủa""實thật""vìkiênghuýthờixưa."
透,THẤU,"透鏡 thấu kính
沁透 thẩm thấu
透曉 thấu hiểu
[翻]"
𠲠,thầu,"主𠲠 chủ thầu
𫜵𠲠 làm thầu"
𠱈,thẻ,兔𠱈 thỏ thẻ
𠱈,thỉ,𠱔𠱈 thủ thỉ
体,thể,"固体 có thể
空体 không thể"
體,THỂ,"身體 thân thể
體面 thể diện"
世,THẾ,"世界 thế giới
世系 thế hệ
世事 thế sự
[翻]"
替,THẾ,𠊝替 thay thế
勢,THẾ,"勢力 thế lực
勢𨅸 thế đứng
優勢 ưu thế
大勢 đại thế
地勢 địa thế"
勢,thế,"勢𱜢 thế nào
如勢 như thế"
誓,THỆ,宣誓 tuyên thệ
誓,thề,"𠳒誓 lời thề
誓願 thề nguyền
咹誓 ăn thề
𠯽誓 chửi thề
誓說 thề thốt
𩯀誓 tóc thề"
饞,thèm,"饞𢠆 thèm thuồng
啿饞 thòm thèm"
饞,sèm,⇔饞thèm
𢢆,thẹn,"𢜜𢢆 hổ thẹn
𢢆𢠅 thẹn thùng"
𢢆,thèn,"𢢆𢢆 thèn thẹn
⇔𢢆thẹn"
𨨧,thép,"鉄𨨧 sắt thép
[翻]"
𠯦,thét,"哠𠯦 gào thét
𠯦𠻵 thét mắng
㖗𠯦 gầm thét
[翻]"
施,THI,"施工 thi công
施恩 thi ân
施行 thi hành
[翻]"
施,THÍ,"布施 bố thí
[翻]"
屍,THI,"屍體 thi thể
屍骸 thi hài"
屍,thây,"抨屍 phanh thây
屍魔 thây ma
屍偈 thây kệ"
詩,THI,"詩歌 thi ca
詩人 thi nhân"
詩,thơ,"詩歌 thơ ca
排詩 bài thơ
吟詩 ngâm thơ
詩訠 thơ thẩn"
試,THÍ,"試驗 thí nghiệm
考試 khảo thí"
試,thi,"局試 cuộc thi
𧼋試 chạy thi
科試 khoa thi"
譬,THÍ,譬喻 thí dụ
譬,ví,"譬喻 ví dụ
譬如 ví như
[異]𱒢啻"
時,THÌ,時𣇞 thì giờ
時,THỜI,"時節 thời tiết
時機 thời cơ
時運 thời vận
時期 thời kì
時間 thời gian
格讀𧵑「時thì」爲𠼤諱時𠸗。Cáchđọccủa""時thì""vìkiênghuýthờixưa.[異]辰"
時,thì,"時𫥨 thì ra
勢時 thế thì
丕時 vậy thì
貪時深 tham thìthâm
時㗖 thì thào
忱時 thầm thì"
氏,THỊ,"無名氏 vô danh thị
阮氏 Nguyễn Thị"
示,THỊ,"表示 biểu thị
顯示 hiển thị
示威 thị uy
揭示 yết thị"
市,THỊ,"市社 thị xã
都市 đô thị
城市 thành thị"
市,xì,利市 lì xì
侍,THỊ,侍女 thị nữ
是,THỊ,是非 thị phi
視,THỊ,"視覺 thị giác
蔑視 miệt thị
視察 thị sát
監視 giám thị"
𤀏,thía,沁𤀏 thấm thía
戚,THÍCH,親戚 thân thích
適,THÍCH,"適應 thích ứng
適趣 thích thú
適志 thích chí
適合 thích hợp"
適,thích,"㤇適 yêu thích
𢛨適 ưa thích"
釋,THÍCH,"解釋 giải thích
放釋 phóng thích
[翻]"
添,THIÊM,坊首添 phường Thủ Thiêm
添,thêm,"添抔 thêm bớt
添紩 thêm thắt
添𠓨 thêm vào
添設備 thêm thiết bị
[翻]"
千,THIÊN,"千古 thiên cổ
千秋 thiên thu"
天,THIÊN,"天然 thiên nhiên
天地 thiên địa
天下 thiên hạ
天良 thiên lương"
天,thuyên,"喧天 huyên thuyên
喧天 luyên thuyên"
偏,THIÊN,"偏爲 thiên vị
報告偏𧗱成績 báo cáo thiên về thành tích"
遷,THIÊN,"變遷 biến thiên
遷都 thiên đô"
篇,THIÊN,"篇冊 thiên sách
篇訪事 thiên phóng sự"
淺,THIỂN,"粗淺 thô thiển
淺近 thiển cận
淺見 thiển kiến"
禪,THIỀN,"禪宗 thiền tông
坐禪 toạ thiền"
善,THIỆN,"善良 thiện lương
善心 thiện tâm
善惡 thiện ác
善志 thiện chí"
𱵭,thiêng,"𱵭靈 thiêng liêng
靈𱵭 linh thiêng
[異]𤍌󠄁𤍌𪬮"
帖,THIẾP,"郵帖 bưu thiếp
帖紅 thiếp hồng
名帖 danh thiếp
帖𫬱 thiếp mời"
帖,thiệp,"發帖 phát thiệp
帖𫬱 thiệp mời"
妾,THIẾP,"妻妾 thê thiếp
臣妾 thần thiếp"
𢜡,thiếp,𢜡𢜡 thiêm thiếp
𢜡,thiêm,"𢜡𢜡 thiêm thiếp
⇔𢜡thiếp"
貼,THIẾP,貼心 thiếp tâm
涉,THIỆP,干涉 can thiệp
切,THIẾT,"親切 thân thiết
痛切 thống thiết
切他 thiết tha"
切,siết,"切𬘋 siết chặt
𫫣切 rên siết"
設,THIẾT,"假設 giả thiết
設計 thiết kế
建設 kiến thiết"
鐵,THIẾT,鐵甲 thiết giáp
竊,THIẾT,竊擬 thiết nghĩ
燒,THIÊU,"燒炪 thiêu đốt
自燒 tự thiêu"
少,THIỂU,"少數 thiểu số
減少 giảm thiểu
最少 tối thiểu"
少,THIẾU,"少女 thiếu nữ
年少 niên thiếu
缺少 khuyết thiếu
少錢 thiếu tiền
慫少 túng thiếu
少寸 thiếu thốn"
紹,THIỆU,"介紹 giới thiệu
紹治 Thiệu Trị"
紹,thịu,腫紹 thũng thịu
請,THỈNH,"請求 thỉnh cầu
請客 thỉnh khách
𫫴請 thủng thỉnh
請倘 thỉnh thoảng"
聽,THÍNH,"聽𦖻 thính tai
探聽 thám thính
聽者 thính giả
欠聽 khiếm thính"
盛,THỊNH,"強盛 cường thịnh
盛饌 thịnh soạn
繁盛 phồn thịnh
安康盛旺 an khang thịnh vượng
[翻]"
盛,THẠNH,⇔盛thịnh
盛,sển,王鴻盛 Vương Hồng Sển
𬚸,thịt,"採𬚸 thái thịt
𬚸𤇌 thịt kho
𬚸𪃿 thịt gà
[翻][異]𦧘䏦"
壽,thọ,"萬壽 vạn thọ
長壽 trường thọ
()"
粗,THÔ,"粗暴 thô bạo
粗魯 thô lỗ
粗陋 thô lậu
粗俗 thô tục"
粗,sồ,粗胒 sồ sề
吐,THỔ,吐瀉 thổ tả
兔,THỐ,"馭赤兔 ngựa Xích Thố
笘𣇟天兔 chòm sao Thiên Thố"
兔,thỏ,"𡥵兔 con thỏ
兔玉 thỏ ngọc
兔𠱈 thỏ thẻ"
苴,thơ,"𥘷苴 trẻ thơ
𡥵苴 con thơ
芹苴 Cần Thơ"
咀,thở,"咀𫥨 thở ra
嘆咀 than thở"
𰨂,thờ,"茹𰨂 nhà thờ
𰨂供 thờ cúng
盤𰨂 bàn thờ"
悇,thờ,"悇㐵 thờ ơ
矧悇 thẫn thờ"
𠏲,thợ,"𠏲船 thợ thuyền
𠏲𡎡 thợ mỏ
𡱩𠏲 thước thợ"
妥,THOẢ,"妥𢚸 thoả lòng
妥協 thoả hiệp
妥滿 thỏa mãn
妥順 thỏa thuận"
妥,thỏa,妥𠾔 thỏa thuê
𢗷,thoải,"𢗷𢗷 thoai thoải
𢗷㜥 thoải mái"
𢗷,thoai,"𢗷𢗷 thoai thoải
⇔𢗷thoải"
退,THOÁI,"退𨆢 thoái lui
退潮 thoái trào
衰退 suy thoái
退化 thoái hoá
退位 thoái vị"
退,thối,"𣅶進𣅶退 lúc tiến lúc thối
退錢朱客 thối tiền cho khách"
話,THOẠI,"會話 hội thoại
電話 điện thoại
對話 đối thoại
神話 thần thoại"
洸,thoáng,"𤈛洸 loáng thoáng
隰洸 thấp thoáng
洸氣 thoáng khí"
洸,thoang,"洸洸 thoang thoáng
⇔洸thoáng"
脫,THOÁT,"脫𧴱 thoát nợ
脫殼 thoát xác
解脫 giải thoát
脫險 thoát hiểm"
脫,xoát,啜脫 xuýt xoát
𣉐,thoạt,𣉐頭 thoạt đầu
𥟉,thóc,"𥟉穭 thóc lúa
𥟉𠼽 thóc mách
[翻]"
梭,thoi,"梭迻 thoi đưa
梭𡀾 thoi thóp
梭𠬠丐 thoi một cái
[翻]"
𢟔,thói,"𢟔慣 thói quen
[異]𩘩𠺙"
催,THÔI,"催促 thôi thúc
催眠 thôi miên"
催,thôi,"擂催 lôi thôi
𠻵𠬠催 mắng một thôi
催役 thôi việc
催𥱮 thôi nôi
𦓡催 mà thôi
喂催 ôi thôi"
𠺙,thổi,"𠺙簫 thổi tiêu
𩙍𠺙𠓨茹 gió thổi vào nhà"
啐,thối,"洃啐 hôi thối
啐他 thối tha"
啐,thôi,"啐啐 thôi thối
⇔啐thối"
迨,thơi,𨓽迨 thảnh thơi
𥱯,thời,𠬃𩵜𠓨𥱯 bỏ cá vào thời
𦹳,thơm,香𦹳 hương thơm
吞,THÔN,吞併 thôn tính
吞,thắn,雲吞 vằn thắn
村,THÔN,"村𥯎 thôn xóm
村圭 thôn quê
農村 nông thôn
村莊 thôn trang
村邑 thôn ấp"
从,thong,从抯 thong thả
通,THÔNG,"通報 thông báo
通曉 thông hiểu
[翻]"
通,thống,"通通 thông thống
⇔通thông[翻]"
樋,thông,"𣘃樋 cây thông
𡹃樋 rừng thông
[異]樁"
聰,THÔNG,聰明 thông minh
痛,THỐNG,"痛苦 thống khổ
痛切 thống thiết"
統,THỐNG,"統計 thống kê
傳統 truyền thống
統帥 thống soái"
猝,THỐT,"猝然 thốt nhiên
倉猝 thảng thốt"
椊,thốt,"椊訥 thốt nốt
[翻]"
收,THU,"收費 thu phí
收穫 thuhoạch
收音 thu âm
收𰔫 thu dọn
收入 thu nhập
收搛thu gom"
收,thâu,"收錢 thâu tiền
⇔收thu"
秋,THU,"𬁒秋 mùa thu
立秋 lập thu
[翻]"
秋,thâu,"𠦳秋 ngàn thâu
⇔秋thu"
手,THỦ,"手續 thủ tục
兇手 hung thủ
手段 thủ đoạn
球手 cầu thủ"
守,THỦ,"保守 bảo thủ
遵守 tuân thủ
守門 thủ môn"
守,THÚ,太守 thái thú
取,THỦ,"取消 thủ tiêu
進取 tiến thủ"
𠱔,thủ,𠱔𠱈 thủ thỉ
首,THỦ,"首都 thủ đô
首相 thủ tướng
首長 thủ trưởng"
首,THÚ,"自首 tự thú
投首 đầu thú
首罪 thú tội"
娶,THÚ,"婚娶 hôn thú
嫁娶 giá thú"
趣,THÚ,"趣味 thú vị
興趣 hứng thú
樂趣 lạc thú"
獸,THÚ,"猛獸 mãnh thú
野獸 dã thú
獸性 thú tính"
殊,THÙ,"特殊 đặc thù
文殊師利 Văn Thù Sư Lợi"
酬,THÙ,酬勞 thù lao
讎,THÙ,"㨋讎 trả thù
仉讎 kẻ thù
報讎 báo thù
讎恨 thù hận
讎敵 thù địch
復讎 phục thù"
受,THỤ,"享受 hưởng thụ
感受 cảm thụ
接受 tiếp thụ
消受 tiêu thụ
受精 thụ tinh
吸受 hấp thụ"
授,THỤ,"傳授 truyền thụ
授粉 thụ phấn"
授,thọ,擡授 đài thọ
樹,THỤ,古樹 cổ thụ
樹,thọ,"龍樹 Long Thọ
⇔樹thụ"
姐,THƯ,小姐 tiểu thư
書,THƯ,"幅書 bức thư
書法 thư pháp
書記 thư kí
書信 thư tín"
書,THƠ,"⇔書thư格讀𧵑「書thư」爲𠼤諱時𠸗。Cáchđọccủa""書thư""vìkiênghuýthờixưa."
舒,THƯ,"舒泰 thư thái
舒舒 thư thư
舒抯 thư thả
[翻]"
雌,THƯ,雌雄 thư hùng
此,THỬ,成此 thành thử
㧗,thử,"𬡶㧗 mặc thử
㧗驗 thử nghiệm"
暑,THỬ,寒暑表 hàn thử biểu
次,THỨ,"次一 thứ nhất
次𠀧 thứ ba
𡥵次 con thứ"
次,thứ,"𠬠次諧劇 một thứ hài kịch
懃教育次青年墟𧘇 cần giáo dục thứ thanh niên hư ấy"
庶,THỨ,庶民 thứ dân
輸,thua,"勝輸 thắng thua
輸𡓇 thua lỗ
輸局 thua cuộc"
疎,thưa,"疎件 thưa kiện
敬疎 kính thưa
疎𣘄 thưa thớt
𡹃疎 rừng thưa"
疎,sưa,⇔疎thưa
丞,THỪA,丞相 thừa tướng
承,THỪA,"交承 giao thừa
承認 thừa nhận
繼承 kế thừa
承恩 thừa ân"
純,THUẦN,"純樸 thuần phác
純粹 thuần tuý
單純 đơn thuần"
醇,THUẦN,"醇厚 thuần hậu
醇性 thuần tính
醇熟 thuần thục"
盾,THUẪN,"餅盾 bánh thuẫn
矛盾 mâu thuẫn
後盾 hậu thuẫn"
順,THUẬN,"順利 thuận lợi
孝順 hiếu thuận
歸順 quy thuận"
述,THUẬT,"陳述 trần thuật
敘述 tựthuật
詳述 tường thuật
譯述 dịch thuật"
術,THUẬT,"藝術 nghệ thuật
學術 học thuật
戰術 chiến thuật"
束,THÚC,"結束 kết thúc
束手 thúc thủ
[翻]"
塾,THỤC,"私塾 tư thục
東京義塾 Đông Kinh Nghĩa Thục"
熟,THỤC,"純熟 thuần thục
熟地 thục địa"
熟,thuộc,"慣熟 quen thuộc
䏧熟 da thuộc"
式,THỨC,"儀式 nghi thức
正式 chính thức
式咹 thức ăn
式㕵 thức uống"
𥅞,thức,"醒𥅞 tỉnh thức
𥅞𣎀 thức đêm
𥅞𧻭 thức dậy
忖𥅞 thổn thức"
識,THỨC,"學識 học thức
認識 nhận thức
識別 thức biệt
意識 ý thức
[翻]"
食,THỰC,"飲食 ẩm thực
食單 thực đơn"
殖,THỰC,殖民 thực dân
寔,THỰC,"誠寔 thành thực
寔踐 thực tiễn
寔權 thực quyền
役寔 việc thực
寔咃 thực thà
𡨸班頭𱺵「實thật」、扔格𢪏吧格讀㐌得𠊝𢷮爲𠼤諱時𠸗。Chữbanđầulà""實thật"",nhưngcáchviếtvàcáchđọcđãđượcthayđổivìkiênghuýthờixưa."
𠾔,thuê,"𠾔茹 thuê nhà
𠾔僈 thuê mướn"
稅,THUẾ,"稅𥡗 thuế má
免稅 miễn thuế
收稅 thu thuế"
稅,thuể,稅妥 thuể thoả
水,THUỶ,"符水 phù thuỷ
艚水 tàu thuỷ
山水 sơn thuỷ
洪水 hồng thuỷ
水兵 thuỷ binh
水利 thuỷ lợi"
始,THUỶ,"原始 nguyên thuỷ
始祖 thuỷ tổ
始終 thuỷ chung
起始 khởi thuỷ"
垂,THUỲ,"垂肺 thuỳ phổi
𧌂𠀧垂 bọ ba thuỳ"
瑞,THUỴ,"瑞香 thuỵ hương
瑞鳥 thuỵ điểu
瑞士 Thuỵ Sĩ
瑞典 Thuỵ Điển"
痊,THUYÊN,痊減 thuyên giảm
船,THUYỀN,"隻船 chiếc thuyền
戰船 chiến thuyền
遊船 du thuyền"
蟬,THUYỀN,貂蟬 điêu thuyền
說,THUYẾT,"小說 tiểu thuyết
傳說 truyền thuyết
學說 học thuyết
說明 thuyết minh
說客 thuyết khách
說服 thuyết phục"
說,thốt,"誓說 thề thốt
說𫥨 thốt ra"
𫫴,thủng,"𡓇𫫴 lỗ thủng
𫫴𣦎 thủng thẳng
𫫴請 thủng thỉnh"
桶,thùng,"桶渃 thùng nước
㨂桶 đóng thùng
桶𥓉 thùng thình
裙襖桶 quần áo thùng
桶筩叫𫰅 thùng rỗng kêu to"
𢠅,thùng,𢢆𢠅 thẹn thùng
繩,thừng,"絏繩 dây thừng
𣦎繩 thẳng thừng
[翻]"
𫇿,thuở,𠇍𣇫 mấy thuở
𫇿,thủa,⇔𣇫thuở
𫇿,thuốc,"𫇿𥾃 thuốc men
𫇿㕵 thuốc uống
塗𫇿 đồ thuốc"
屬,THUỘC,"屬性 thuộc tính
附屬 phụ thuộc
()"
屬,thuột,班迷屬 Buôn Ma Thuột
𡱩,thước,"戟𡱩 kích thước
𡱩西 thước tây
𡱩𢩫 thước kẻ"
商,THƯƠNG,"商賣 thương mại
商品 thương phẩm
商說 thương thuyết"
傷,THƯƠNG,"傷亡 thương vong
傷害 thương hại
傷疾 thương tật
傷㤇 thương yêu
易傷 dễ thương
傷感 thương cảm"
滄,THƯƠNG,桑滄 tang thương
槍,THƯƠNG,"刀槍 đao thương
火槍 hoả thương"
賞,THƯỞNG,"𦄂賞 giải thưởng
賞罰 thưởng phạt
賞月 thưởng nguyệt
賞識 thưởng thức"
賞,thững,朗賞 lững thững
常,THƯỜNG,"平常 bình thường
常川 thường xuyên
䁛常 coi thường"
上,THƯỢNG,"上流 thượng lưu
𡑝上 sân thượng
皇上 hoàng thượng
上策 thượng sách"
尚,THƯỢNG,"高尚 cao thượng
和尚 hoà thượng"
浖,thụt,"浖𨀤 thụt lùi
[翻]"
查,TRA,"審查 thẩm tra
檢查 kiểm tra
查𠳨 tra hỏi
[翻]"
查,tra,"𩵜查 cá tra
[翻]"
揸,tra,"揸籺𥣐 tra hạt vừng
揸劍𠓨𤿭 tra kiếm vào vỏ"
㨋,trả,"㨋𧴱 trả nợ
㨋錢 trả tiền
㨋𠳒 trả lời
還㨋 hoàn trả
㨋恩 trả ơn"
㨋,giả,⇔㨋trả
詐,TRÁ,"奸詐 gian trá
巧詐 xảo trá
嚉詐 dối trá
詐形 trá hình
假詐 giả trá"
茶,TRÀ,"𢯠茶 pha trà
瓶茶 bình trà
飲茶 ẩm trà
茶青 trà xanh"
茶,chè,"鈉茶 nồi chè
茶盞 chè chén"
測,TRẮC,"測驗 trắc nghiệm
觀測 quan trắc
測地 trắc địa
不測 bất trắc"
𨁷,trặc,軸𨁷 trục trặc
責,TRÁCH,"譴責 khiển trách
責據 trách cứ
責任 trách nhiệm
責𠻵 trách mắng
責𢪮 trách móc"
澤,TRẠCH,"潤澤 nhuận trạch
[翻]"
𤳆,trai,"𡥵𤳆 con trai
英𤳆 anh trai
()"
𤳆,giai,⇔𤳆trai
𤳆,lai,⇔𤳆trai
齋,TRAI,"書齋 thư trai
齋房 trai phòng
齋戒 trai giới
[翻]"
齋,chay,"咹齋 ăn chay
齋淨 chay tịnh"
𧕚,trai,"𧕚儮𠵘 trai lệch mồm
玉𧕚 ngọc trai
𠁻籺𧕚 chuỗi hạt (hột) trai"
𧕚,giai,⇔𧕚trai
𱱇,trải,"𥧪𱱇 trống trải
𱱇毯 trải thảm
𫫞𱱇 nếm trải
[異]𣦰"
債,TRÁI,債票 trái phiếu
債,trái,"邊債 bên trái
沛債 phải trái
債卬 trái ngang"
債,lái,⇔債trái
廌,TRÃI,阮廌 Nguyễn Trãi
寨,TRẠI,"營寨 doanh trại
邑寨 ấp trại"
站,TRẠM,"站氣象 trạm khí tượng
站舍 trạm xá"
站,trậm,站摨站秩 trậm trầy trậm trật
𤾓,trăm,"𤾓𢆥 trăm năm
亙𤾓 hàng trăm
份𤾓 phần trăm
[翻]"
沈,TRẦM,"沈淪 trầm luân
沈默 trầm mặc
沈重 trầm trọng
沈香 trầm hương
沈𣼽 trầm lặng
𠰩沈 giọng trầm
[翻]"
沈,chìm,"沈汲 chìm ngập
沈㴷 chìm đắm
斤沈 cân chìm
𠀧沈𠤩浽 ba chìm bảy nổi"
沈,trầm,"沈徂 trầm trồ
[翻]"
𩑰,trán,𩑰𥳉 trán dô
𣼼,tràn,"𣼼攔 tràn lan
𣼼𣹓 tràn đầy
[翻]"
𣼼,giàn,⇔𣼼tràn
粦,trăn,粦𠭤 trăn trở
珍,TRÂN,"珍重 trân trọng
珍珠 trân châu
珍饈 trân tu
珍寶 trân bảo
珍禽異獸 trân cầm dị thú
[翻]"
鎮,TRẤN,"市鎮 thị trấn
鎮靜 trấn tĩnh
鎮壓 trấn áp
鎮守 trấn thủ"
陳,TRẦN,"陳設 trần thiết
條陳 điều trần
陳皮 trần bì
陳𪳹 trần trụi
𣱆陳 họ Trần
對蹎陳 đôi chân trần"
塵,TRẦN,"塵俗 trần tục
塵世 trần thế
承塵 thừa trần"
陣,TRẬN,"臨陣 lâm trận
陣杶 trận đòn
陣打 trận đánh"
陣,trặn,圇陣 tròn trặn
𢬂,trang,"𢬂𱱇 trang trải
𢬂𥟉 trang thóc
丐𢬂 cái trang"
莊,TRANG,"莊重 trang trọng
康莊 khang trang
莊雅 trang nhã
義莊 nghĩa trang
莊𰨂 trang thờ
[翻]()"
奘,trang,𠬠奘豪傑 một trang hào kiệt
粧,TRANG,"化粧 hoá trang
粧點 trang điểm"
裝,TRANG,"服裝 phục trang
軍裝 quân trang
假裝 giả trang
裝飾 trang sức"
壯,TRÁNG,"壯麗 tráng lệ
強壯 cường tráng
壯健 tráng kiện"
𣴣,tráng,"𣴣𠰘 tráng miệng
紙𣴣金 giấy tráng kim"
長,TRÀNG,"長籺 tràng hạt
長花 tràng hoa
長樂 tràng nhạc"
長,TRƯỞNG,"部長 bộ trưởng
長輩 trưởng bối
長成 trưởng thành"
長,TRƯỜNG,"所長 sở trường
長期 trường kì
長壽 trường thọ"
腸,TRÀNG,大腸 đại tràng
腸,TRƯỜNG,斷腸 đoạn trường
腸,sườn,臘腸 lạp sườn
腸,xưởng,臘腸 lạp xưởng
腸,xường,臘腸 lạp xường
狀,TRẠNG,"情狀 tình trạng
告狀 cáo trạng
事狀 sự trạng"
𦝄,trăng,"𦝄嫩 trăng non
𦝄清 trăng thanh
𦝄缺 trăng khuyết
𦝄花 trăng hoa"
𦝄,giăng,⇔𦝄trăng
𤽸,trắng,"𩚵𤽸 cơm trắng
𤽸𤽀 trắng trẻo"
𤽸,trăng,"𤽸𤽸 trăng trắng
⇔𤽸trắng"
爭,TRANH,"鬥爭 đấu tranh
爭𨅮 tranh đua
紛爭 phân tranh
[翻]"
爭,danh,⇔爭tranh
𦱊,tranh,"𦹯𦱊 cỏ tranh
茹𦱊 nhà tranh"
幀,tranh,"幀影 tranh ảnh
幅幀 bức tranh
幀𦘧 tranh vẽ"
𠬉,tránh,"𠬉儞 tránh né
𠬉𠺌 tránh khỏi
遁𠬉 trốn tránh"
𢭂,trao,"𢭂𢷮 trao đổi
𢭂𢬣 trao tay"
