Character,Reading,Examples
繃,BĂNG,"繃抪 băng bó
繃𢬣 băng tay
㧅繃 đeo băng
𧦕繃 ghế băng
茹繃 nhà băng"
𬦋,băng,"𬦋過 băng qua
消𬦋 tiêu băng
𬦋涳 băng xăng
越𤂬𬦋嵃 vượt suối băng ngàn"
朋,BẰNG,"朋友 bằng hữu
[翻]"
憑,BẰNG,"憑證 bằng chứng
文憑 văn bằng
證明憑事寔 chứng minh bằng sự thực"
鵬,BẰNG,𪀄鵬 chim bằng
捠,banh,"捠眜 banh mắt
𤏬捠 sáng banh
跢捠 đá banh"
餅,bánh,"餅蒸 bánh chưng
餅麪 bánh mì
餅車 bánh xe
餅梩 bánh lái
[異]𩛄"
彭,BÀNH,𣱆彭 họ Bành
彭,bành,"𧦕彭 ghế bành
腥彭 tanh bành"
包,BAO,"包襆 bao bọc
包劍 bao kiếm
包含 bao hàm
包容 bao dung
[翻]"
包,bao,"包饒 bao nhiêu
包𣇞 bao giờ
炳包 bảnh bao
[翻]"
保,BẢO,"保護 bảo hộ
擔保 đảm bảo
保持 bảo trì
保行 bảo hành"
保,BỬU,⇔保bảo[翻]
保,bầu,"保舉 bầu cử
評保 bình bầu
𠫾保 đi bầu
[翻]"
𠸒,bảo,"勸𠸒 khuyên bảo
𠰺𠸒 dạy bảo"
寶,BẢO,"寶物 bảo vật
寶劍 bảo kiếm
()"
寶,BỬU,"文房四寶 văn phòng tứ bửu
寶貝 bửu bối
⇔寶bảo"
寶,báu,"貴寶 quý báu
寶物 báu vật
珠寶 châu báu"
豹,BÁO,"豹𤜬 báo săn
豹獅子 báo sư tử"
報,BÁO,"報誌 báo chí
報恩 báo ân
報讎 báo thù
茹報 nhà báo
報夢 báo mộng
報信 báo tin"
刨,BÀO,"刨楛 bào gỗ
丐刨 cái bào"
袍,BÀO,炮製 bào chế
袍,PHÁO,"炮臺 pháo đài
炮花 pháo hoa"
袍,BÀO,襖袍 áo bào
抱,BÃO,懷抱 hoài bão
雹,bão,"𩙍雹 gió bão
雹𡋥 bão cát
𩘪雹 dông bão
𤴬雹 đau bão
雹咂 bão táp"
怉,bạo,"怉𢢀 bạo dạn
怉𠰘 bạo miệng
舉止窒怉 cử chỉ rất bạo"
暴,BẠO,"暴力 bạo lực
粗暴 thô bạo
暴動 bạo động
暴行 bạo hành
殘暴 tàn bạo
暴虐 bạo ngược"
𣔟,bắp,"𣔟荎 bắp chuối
𣔟芥 bắp cải
𣔟蹎 bắp chân
[翻]"
八,BÁT,"七八 thất bát
八仙 bát tiên
八角 bát giác
八索 bát sách
八𬇣 bát nháo
八𬳜 bát ngát"
八,bạch,八足 bạch tuộc
八,bét,"八 bét
數點𥪝㗂㑝俚𤞼。Sốđếmtrongtiếnglóngláilợn."
般,BÁT,般若 Bát Nhã
鉢,BÁT,"鉢𥐨 bát đĩa
鉢𩚵 bát cơm"
潑,BÁT,"活潑 hoạt bát
[翻]"
拔,BẠT,"提拔 đề bạt
拔劍 bạt kiếm"
拔,bạt,"拔𤽶 bạt vía
拔艚 bạt tầu
拔命 bạt mạng
𨄂拔 lang bạt
拔𦖻 bạt tai
拔𡶀拫瀧 bạt núi ngăn sông"
扒,bắt,"扒𫃚 bắt buộc
扒着 bắt chước
扒脈 bắt mạch
扒𡃓 bắt bớ
扒﨤 bắt gặp
[異]撥抔"
不,BẤT,"不安 bất an
不期 bất kì
不執 bất chấp
不𥓉𥘃 bất thình lình"
